weeks,Season,GID,name,Pos,Team,h/a,Oppt,FD points,FD salary,game.id,date,playerID,pass.att,pass.comp,passyds,pass.tds,pass.ints,pass.twopta,pass.twoptm,rush.att,rushyds,rushtds,rushlng,rushlngtd,rush.twopta,rush.twoptm,recept,recyds,rec.tds,reclng,reclngtd,rec.twopta,rec.twoptm,kick.rets,kickret.avg,kickret.tds,kick.ret.lng,kickret.lngtd,punt.rets,puntret.avg,puntret.tds,puntret.lng,puntret.lngtd,fgm,fga,fgyds,totpts.fg,xpmade,xpmissed,xpa,xpb,xppts.tot,tackles,asst.tackles,sacks,defints,forced.fumbs,totalfumbs,recfumbs,totalrecfumbs,fumbyds,fumbslost,games,position,proj
7.0,2015,4585,L.Donnell,TE,NYG,h,DAL,3.8,5200.0,2015102510,2015-10-25,00-0028838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,4.0
9.0,2015,6166,C.Barth,PK,TB,h,NYG,14.0,4800.0,2015110807,2015-11-08,00-0026138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,53,12,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
1.0,2015,3437,A.Johnson,WR,IND,a,BUF,4.4,6900.0,2015091304,2015-09-13,00-0022044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,5.8
9.0,2015,5254,J.Matthews,WR,PHI,a,DAL,23.8,6300.0,2015110810,2015-11-08,00-0031299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,133,1,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,5.5
6.0,2015,1415,K.Cousins,QB,WAS,a,NYJ,9.94,6200.0,2015101801,2015-10-18,00-0029604,43,25,196,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,13.76
5.0,2015,1302,J.Flacco,QB,BAL,h,CLE,24.6,7700.0,2015101105,2015-10-11,00-0026158,35,19,210,1,0,1,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,QB,15.68
4.0,2015,5173,T.Benjamin,WR,CLE,a,SD,10.9,6000.0,2015100408,2015-10-04,00-0029269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,79,0,18,0,0,0,0,0,0,0,0,2,20,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,4.8
4.0,2015,6088,J.Scobee,PK,PIT,h,BAL,9.0,4600.0,2015100100,2015-10-01,00-0022874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,45,6,2,0,2,0,2,0,0,0.0,0,0,0,0,0,0,0,1,K,7.0
15.0,2015,4571,C.Gragg,TE,BUF,a,WAS,2.1,4500.0,2015122007,2015-12-20,00-0030049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,3.1
11.0,2015,6203,R.Bullock,PK,NYJ,a,HOU,6.0,4500.0,2015112203,2015-11-22,00-0029421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,40,3,2,0,2,0,2,0,0,0.0,0,0,0,0,0,0,0,1,K,6.0
6.0,2015,5344,D.Moncrief,WR,IND,h,NE,15.9,6200.0,2015101811,2015-10-18,00-0031339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,69,1,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,5.5
11.0,2015,2858,D.Martin,RB,TB,a,PHI,23.5,6600.0,2015112204,2015-11-22,00-0029613,0,0,0,0,0,0,0,27,235,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,RB,14.3
2.0,2015,4537,K.Rudolph,TE,MIN,h,DET,11.5,5100.0,2015092007,2015-09-20,00-0027981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,1,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,10.3
3.0,2015,4491,G.Graham,TE,HOU,h,TB,1.4,4600.0,2015092703,2015-09-27,00-0027718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,TE,3.1
3.0,2015,6093,M.Nugent,PK,CIN,a,BAL,4.0,4800.0,2015092707,2015-09-27,00-0023482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
2.0,2015,5215,M.Wheaton,WR,PIT,h,SF,7.7,5100.0,2015092009,2015-09-20,00-0030460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,67,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,5.6
6.0,2015,6233,J.Lambo,PK,SD,a,GB,8.0,4600.0,2015101809,2015-10-18,00-0032087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,36,6,2,0,2,0,2,0,0,0.0,0,0,0,0,0,0,0,1,K,8.0
7.0,2015,4491,G.Graham,TE,HOU,a,MIA,0.0,4600.0,2015102502,2015-10-25,00-0027718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,1,TE,2.0
3.0,2015,5125,R.Cobb,WR,GB,h,KC,31.8,8200.0,2015092800,2015-09-28,00-0028002,0,0,0,0,0,0,0,1,12,0,12,0,0,0,7,91,3,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,WR,14.0
